3GPP818ID,3GPP818_number,3GPP818_name,3GPP818_Purpose,3GPP818_benchmark
1.1,5.2.4.2.2.4.1,避免使用不安全認證方式,使用不安全認證機制如，anonymous-auth參數允許匿名登入、token-auth-file之明文儲存token、authorization-mode未連線管理，可能遭未授權之連線存取系統之風險。建議依檢測基準來進行設定，以防護系統認證連線之安全,"1.--anonymous-auth設定false
2.--token-auth-file未設定
3.--authorization-mode未設定為AlwaysAllow 
4.--authorization-mode參數包含Node、RBAC"
1.2,5.2.4.2.2.4.2,避免啟動匿名存取功能,允許匿名登入存取API server，可能有非法存取疑慮,"1.API伺服器預設開啟網路埠為10250
2.透過curl可以得知是否開啟匿名存取功能 3.預設安裝未啟動匿名存取功能，故回傳Unauthorized"
1.3,5.2.4.2.2.4.3,Secret等機敏資料應預設加密,明文儲存機敏資料，倘若外洩可能有直接暴露之疑慮,API server是否啟用--encryption-provider-config
1.4,5.2.4.2.2.4.4,避免允許所有API請求,允許所有請求，可能有非法存取之疑慮，建議API server之--enable-admission-plugins參數未設定AlwaysAdmit,檢測設定--enable-admission-plugins參數未設定AlwaysAdmit
1.5,5.2.4.2.2.4.5,避免IP遭偽冒重送攻擊,可假冒合法來源IP或port來非法存取系統，建議綁定MAC或其他身份驗證機制確認來源安全性,"1.確認來源IP是否有身分認證機制
2.適當設置API服務器請求的全局請求超時"
1.6,5.2.4.2.2.4.6,應確認container安全性,確認container相關管控安全性,"1.Ensure that the admission control plugin ServiceAccount 已設置
2.Ensure that the admission control plugin NamespaceLifecycle 已設置
3.Ensure that the admission control plugin NodeRestriction
4.Ensure that the --insecure-bind-address argument 尚未設置
5.Ensure that the --secure-port argument 尚未設置 to 0 "
1.7,5.2.4.2.2.4.7,Etcd連線應加密,因Etcd與客戶端之連線未加密，可能有中間監聽竊取之疑慮，建議以TLS加密保護Etcd與客戶端之連線，API server之--etcd-certfile 與 --etcd-keyfile參數建議設定合適之憑證,API server之--etcd-certfile 與 --etcd-keyfile參數建議是否設定合適之憑證
2.2,5.2.4.2.2.5.2,檔案權限安全,"管控檔案避免遭非擁有者惡意使用，etcd、scheduler、controller-manager、API server pod的檔案權限設定為644，或更嚴格,若未妥善控管權限，可能有遭非法存取之疑慮。","建議以下檔案設定644，或更嚴格
 /etc/kubernetes/manifests/kube-apiserver.yaml
 /etc/kubernetes/manifests/etcd.yaml
 /etc/kubernetes/manifests/kube-controller-manager.yaml
 /etc/kubernetes/manifests/kube-scheduler.yam"
2.3,5.2.4.2.2.5.3,開機僅可透過合法的韌體,系統應使用合法韌體開機，避免非法韌體藏有後門程式或惡意軟體，影響系統安全。,檢視韌體之合法性，確認為官方來源
2.4,5.2.4.2.2.5.4,應妥善保管紀錄檔案,應妥善設定啟用稽核紀錄機制，log與policy檔案權限設定為644，或更嚴格，若未啟用稽核紀錄，可能有無法追查及稽核問題之疑慮。,確認系統已開啟系統記錄，並妥善設定檔案權限
